Model,Timestamp,Category,Metric,Value
DQN_Test_2023_Data,2025-10-30_21-34-31,Overall,Average Vessel Waiting Time,6.395346320346321
DQN_Test_2023_Data,2025-10-30_21-34-31,Overall,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,Overall,Standard Error of Vessel Waiting Time,1.4985488182553675
DQN_Test_2023_Data,2025-10-30_21-34-31,Overall,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-30_21-34-31,Overall,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Total Vessel Waiting Time,31.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,A,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Total Vessel Waiting Time,51.166666666666515
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Average Vessel Waiting Time,1.827380952380947
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Standard Error of Vessel Waiting Time,0.5772377502008923
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Maximum Vessel Waiting Time,13.75
DQN_Test_2023_Data,2025-10-30_21-34-31,B,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Total Vessel Waiting Time,21.666666666666515
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Average Vessel Waiting Time,2.4074074074073906
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Standard Error of Vessel Waiting Time,1.0256588935804944
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Maximum Vessel Waiting Time,9.916666666666515
DQN_Test_2023_Data,2025-10-30_21-34-31,C,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Total Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Standard Error of Vessel Waiting Time,
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,CB,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Total Vessel Waiting Time,3.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,D,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Total Vessel Waiting Time,836.5500000000004
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Average Vessel Waiting Time,18.1858695652174
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Standard Error of Vessel Waiting Time,4.580134411912377
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-30_21-34-31,E,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Total Vessel Waiting Time,40.5
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Average Vessel Waiting Time,1.125
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Standard Error of Vessel Waiting Time,0.125
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Maximum Vessel Waiting Time,5.5
DQN_Test_2023_Data,2025-10-30_21-34-31,F,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Total Reward,-154.82741756719312
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Berth Utilization Rate,0.2710750902785863
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Total Vessel Waiting Time,995.3833333333334
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Average Vessel Waiting Time,6.7713151927437645
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Standard Error of Vessel Waiting Time,1.5697304122325917
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-30_23-43-10,Overall,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Total Vessel Waiting Time,47.666666666666515
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Average Vessel Waiting Time,1.401960784313721
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Standard Error of Vessel Waiting Time,0.401960784313721
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Maximum Vessel Waiting Time,14.666666666666515
DQN_Test_2023_Data,2025-10-30_23-43-10,A,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Total Vessel Waiting Time,26.416666666666515
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Average Vessel Waiting Time,1.6510416666666572
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Standard Error of Vessel Waiting Time,0.6510416666666572
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Maximum Vessel Waiting Time,11.416666666666515
DQN_Test_2023_Data,2025-10-30_23-43-10,B,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Total Vessel Waiting Time,39.25
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Average Vessel Waiting Time,3.925
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Standard Error of Vessel Waiting Time,2.0241005470804536
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Maximum Vessel Waiting Time,20.333333333333485
DQN_Test_2023_Data,2025-10-30_23-43-10,C,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Total Vessel Waiting Time,2.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,CB,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Total Vessel Waiting Time,4.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,D,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Total Vessel Waiting Time,836.5500000000004
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Average Vessel Waiting Time,18.1858695652174
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Standard Error of Vessel Waiting Time,4.580134411912377
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-30_23-43-10,E,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Total Vessel Waiting Time,39.5
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Average Vessel Waiting Time,1.1285714285714286
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Standard Error of Vessel Waiting Time,0.12857142857142861
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Maximum Vessel Waiting Time,5.5
DQN_Test_2023_Data,2025-10-30_23-43-10,F,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Total Reward,-140.8125935162095
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Berth Utilization Rate,0.2710750902785863
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Total Vessel Waiting Time,977.5500000000004
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Average Vessel Waiting Time,7.350000000000003
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Standard Error of Vessel Waiting Time,1.7254944359751065
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-31_00-09-08,Overall,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Total Vessel Waiting Time,25.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,A,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Total Vessel Waiting Time,11.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,B,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Total Vessel Waiting Time,58.5
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Average Vessel Waiting Time,6.5
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Median Vessel Waiting Time,7.916666666666515
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Standard Error of Vessel Waiting Time,2.142268253885351
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Maximum Vessel Waiting Time,20.333333333333485
DQN_Test_2023_Data,2025-10-31_00-09-08,C,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Total Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Standard Error of Vessel Waiting Time,
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,CB,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Total Vessel Waiting Time,5.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Average Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Standard Error of Vessel Waiting Time,0.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Maximum Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,D,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Total Vessel Waiting Time,836.5500000000004
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Average Vessel Waiting Time,18.1858695652174
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Standard Error of Vessel Waiting Time,4.580134411912377
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Maximum Vessel Waiting Time,125.0
DQN_Test_2023_Data,2025-10-31_00-09-08,E,Shortest Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Total Vessel Waiting Time,40.5
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Average Vessel Waiting Time,1.125
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Median Vessel Waiting Time,1.0
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Standard Error of Vessel Waiting Time,0.125
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Maximum Vessel Waiting Time,5.5
DQN_Test_2023_Data,2025-10-31_00-09-08,F,Shortest Vessel Waiting Time,1.0
